Station Address,City,State/Province,Transaction Date,Transaction Start Time,   Charging Time (minutes)   , Energy (kWh) , GHG Savings (kg) , Gasoline Savings (gallons) ,Port Type
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,7/28/2018,11:53 AM,147,5,2.1,0.63,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,7/28/2018,10:27 AM,121,12.13,5.09,1.52,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,7/28/2018,10:47 AM,56,1.83,0.77,0.23,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,7/28/2018,9:45 AM,62,6.7,2.82,0.84,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,7/28/2018,8:26 AM,79,4.25,1.79,0.53,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,7/29/2018,6:05 PM,96,4.44,1.87,0.56,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,7/29/2018,7:57 PM,18,1.77,0.74,0.22,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,7/29/2018,5:30 PM,154,15.43,6.48,1.94,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,7/29/2018,3:06 PM,89,8.23,3.46,1.03,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,7/29/2018,2:00 PM,105,9.31,3.91,1.17,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,7/29/2018,1:49 PM,95,5.72,2.4,0.72,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,7/29/2018,1:03 PM,77,3.19,1.34,0.4,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/29/2018,1:21 PM,72,3.68,1.55,0.46,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,7/29/2018,11:38 AM,138,13.75,5.78,1.73,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,7/29/2018,7:31 AM,81,5.13,2.15,0.64,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,7/29/2018,10:42 AM,80,4.66,1.96,0.59,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/29/2018,11:08 AM,17,1.62,0.68,0.2,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,7/29/2018,10:51 AM,56,5.7,2.39,0.72,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/29/2018,10:16 AM,89,4.65,1.96,0.58,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,7/29/2018,8:27 AM,87,5.07,2.13,0.64,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,7/29/2018,8:00 AM,157,15.84,6.65,1.99,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,7/30/2018,9:25 PM,296,28.9,12.14,3.63,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,7/30/2018,12:48 PM,78,4.55,1.91,0.57,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,7/30/2018,11:12 PM,79,8.09,3.4,1.02,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,7/30/2018,8:00 PM,70,3.78,1.59,0.47,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,7/30/2018,8:07 PM,   -     , -   , -   , -   ,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/30/2018,5:47 PM,93,4.87,2.05,0.61,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,7/30/2018,1:12 PM,160,16.59,6.97,2.08,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,7/30/2018,8:24 AM,90,4.51,1.9,0.57,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,7/30/2018,3:02 PM,51,5.18,2.18,0.65,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,7/30/2018,2:02 PM,107,10.59,4.45,1.33,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,7/30/2018,1:56 PM,61,6.02,2.53,0.76,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,7/30/2018,12:36 PM,76,7.38,3.1,0.93,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,7/30/2018,11:05 AM,88,8.7,3.66,1.09,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,7/30/2018,9:49 AM,96,5.11,2.14,0.64,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,7/30/2018,11:43 AM,21,2.08,0.87,0.26,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,7/30/2018,10:33 AM,37,2.04,0.86,0.26,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,7/30/2018,7:59 AM,153,9.84,4.13,1.24,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,7/30/2018,6:54 AM,123,6.51,2.73,0.82,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/30/2018,6:41 AM,88,8.54,3.59,1.07,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,7/31/2018,3:36 PM,78,4.56,1.92,0.57,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,7/31/2018,11:12 PM,420,41.31,17.35,5.18,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,7/31/2018,7:22 PM,150,9.37,3.94,1.18,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,7/31/2018,1:19 PM,85,4.29,1.8,0.54,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,7/31/2018,8:39 PM,27,1.48,0.62,0.19,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,7/31/2018,10:51 AM,65,3.54,1.49,0.44,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,7/31/2018,1:24 PM,66,6.35,2.67,0.8,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/31/2018,5:30 PM,129,11,4.62,1.38,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,7/31/2018,6:33 PM,49,4.87,2.05,0.61,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,7/31/2018,5:31 PM,95,5.24,2.2,0.66,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,7/31/2018,12:32 PM,42,4.21,1.77,0.53,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,7/31/2018,2:29 PM,155,10.47,4.4,1.31,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,7/31/2018,11:38 AM,9,0.86,0.36,0.11,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,7/31/2018,4:20 PM,1,0.07,0.03,0.01,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,7/31/2018,2:48 PM,66,7.07,2.97,0.89,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,7/31/2018,1:40 PM,20,2.17,0.91,0.27,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/31/2018,12:21 PM,98,9.61,4.03,1.21,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,7/31/2018,10:19 AM,213,16,6.72,2.01,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,7/31/2018,1:10 PM,27,2.95,1.24,0.37,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/31/2018,12:31 PM,51,5.19,2.18,0.65,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,7/31/2018,10:04 AM,24,1.46,0.61,0.18,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/31/2018,7:56 AM,139,7.65,3.21,0.96,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,7/31/2018,6:35 AM,124,12.13,5.1,1.52,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,7/31/2018,6:37 AM,32,0.29,0.12,0.04,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/1/2018,2:26 PM,80,4.64,1.95,0.58,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/1/2018,7:30 PM,92,4.81,2.02,0.6,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/1/2018,7:54 PM,101,7.58,3.19,0.95,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/1/2018,6:37 PM,84,4.26,1.79,0.54,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/1/2018,6:43 PM,72,7.11,2.99,0.89,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/1/2018,6:04 PM,   -     , -   , -   , -   ,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/1/2018,6:02 PM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/1/2018,2:29 PM,164,18.59,7.81,2.33,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/1/2018,5:15 PM,8,0.74,0.31,0.09,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/1/2018,4:22 PM,48,4.83,2.03,0.61,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,8/1/2018,1:11 PM,210,11.15,4.68,1.4,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/1/2018,1:28 PM,74,7.51,3.15,0.94,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/1/2018,12:42 PM,81,8.21,3.45,1.03,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/1/2018,1:44 PM,3,0.27,0.12,0.03,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,8/1/2018,11:21 AM,103,7.37,3.09,0.92,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,8/1/2018,10:55 AM,60,6.1,2.56,0.77,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/1/2018,10:59 AM,51,2.76,1.16,0.35,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,8/1/2018,7:58 AM,117,7.23,3.04,0.91,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/1/2018,7:43 AM,140,7.7,3.24,0.97,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/1/2018,6:09 AM,76,7.5,3.15,0.94,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/2/2018,8:45 AM,214,15.63,6.57,1.96,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/2/2018,4:59 PM,25,1.23,0.52,0.16,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/2/2018,10:13 PM,495,48.34,20.3,6.07,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/2/2018,7:02 PM,99,9.99,4.19,1.25,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/2/2018,6:33 PM,132,13.12,5.51,1.65,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/2/2018,6:01 PM,53,3.12,1.31,0.39,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/2/2018,5:04 PM,104,9.08,3.81,1.14,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/2/2018,6:00 PM,46,4.59,1.93,0.58,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/2/2018,5:39 PM,31,1.65,0.69,0.21,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/2/2018,1:17 PM,124,12.45,5.23,1.56,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/2/2018,12:37 PM,128,6.83,2.87,0.86,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/2/2018,1:03 PM,48,4.82,2.03,0.61,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,8/2/2018,12:27 PM,47,4.51,1.89,0.57,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/2/2018,10:05 AM,91,5.56,2.34,0.7,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/2/2018,11:11 AM,30,3.01,1.26,0.38,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/2/2018,11:39 AM,   -     , -   , -   , -   ,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/2/2018,9:38 AM,120,2.48,1.04,0.31,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,8/2/2018,9:59 AM,   -     , -   , -   , -   ,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/2/2018,6:50 AM,145,14.16,5.95,1.78,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/2/2018,6:48 AM,59,5.91,2.48,0.74,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/2/2018,1:19 AM,17,1.7,0.71,0.21,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/3/2018,2:36 PM,57,2.79,1.17,0.35,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/3/2018,11:36 PM,135,14.84,6.23,1.86,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,9:00 PM,95,9.43,3.96,1.18,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/3/2018,7:42 PM,109,10.83,4.55,1.36,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/3/2018,8:15 PM,50,2.68,1.13,0.34,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/3/2018,7:35 PM,56,5.75,2.42,0.72,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,6:33 PM,69,3.72,1.56,0.47,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,5:28 PM,85,8.28,3.48,1.04,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,5:02 PM,69,6.52,2.74,0.82,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/3/2018,5:29 PM,33,1.75,0.74,0.22,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,5:00 PM,52,4.94,2.08,0.62,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,8/3/2018,4:20 PM,11,1.16,0.49,0.15,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,1:42 PM,124,6.81,2.86,0.85,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/3/2018,12:39 PM,76,8.38,3.52,1.05,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/3/2018,2:00 PM,74,7.66,3.22,0.96,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,8/3/2018,11:51 AM,60,6.3,2.65,0.79,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/3/2018,1:39 PM,26,1.61,0.67,0.2,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,11:41 AM,118,6.5,2.73,0.82,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/3/2018,10:08 AM,203,10.45,4.39,1.31,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,11:29 AM,87,8.7,3.65,1.09,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/3/2018,11:29 AM,67,6.92,2.91,0.87,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,8/3/2018,8:50 AM,201,21.02,8.83,2.64,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/3/2018,8:13 AM,223,11.57,4.86,1.45,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/3/2018,10:28 AM,74,5.25,2.21,0.66,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,9:11 AM,130,12.65,5.32,1.59,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/3/2018,9:58 AM,26,2.62,1.1,0.33,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/3/2018,8:53 AM,78,7.75,3.25,0.97,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/3/2018,8:13 AM,   -     , -   , -   , -   ,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/4/2018,6:14 PM,111,7.11,2.99,0.89,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/4/2018,6:07 PM,117,10.73,4.51,1.35,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/4/2018,4:07 PM,77,3.9,1.64,0.49,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/4/2018,12:41 PM,43,3.51,1.47,0.44,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/4/2018,1:30 PM,164,13.2,5.55,1.66,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,8/4/2018,1:43 PM,94,9.48,3.98,1.19,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/4/2018,12:35 PM,142,13.69,5.75,1.72,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/4/2018,2:51 PM,1,0.04,0.02,0.01,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/4/2018,1:35 PM,60,5.96,2.5,0.75,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/4/2018,1:33 PM,41,3.97,1.67,0.5,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/4/2018,11:24 AM,99,1.31,0.55,0.16,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/4/2018,11:35 AM,28,2.85,1.2,0.36,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/4/2018,10:58 AM,30,1.55,0.65,0.2,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,8/4/2018,9:18 AM,42,4.18,1.76,0.53,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/4/2018,9:10 AM,37,2,0.84,0.25,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/5/2018,6:31 PM,   -     , -   , -   , -   ,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/5/2018,5:00 PM,47,2.9,1.22,0.36,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/5/2018,2:35 PM,192,10.23,4.29,1.28,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/5/2018,12:12 PM,172,12.42,5.22,1.56,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/5/2018,2:31 PM,   -     , -   , -   , -   ,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/5/2018,12:26 PM,86,3.21,1.35,0.4,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/5/2018,1:03 PM,38,3.8,1.6,0.48,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/5/2018,10:45 AM,64,3.2,1.34,0.4,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/5/2018,11:00 AM,109,10.81,4.54,1.36,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/5/2018,11:32 AM,76,7.99,3.36,1,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,8/5/2018,11:24 AM,59,3.77,1.58,0.47,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/5/2018,8:14 AM,113,11.35,4.77,1.43,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/6/2018,2:11 PM,56,3.26,1.37,0.41,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/6/2018,11:02 PM,375,36.73,15.43,4.61,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/6/2018,8:08 PM,60,3.2,1.34,0.4,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/6/2018,5:32 PM,147,11.95,5.02,1.5,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/6/2018,5:19 PM,152,16.4,6.89,2.06,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/6/2018,6:28 PM,79,4.16,1.75,0.52,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/6/2018,5:45 PM,60,5.85,2.46,0.73,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,8/6/2018,5:58 PM,41,4.18,1.76,0.53,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/6/2018,3:57 PM,145,14.34,6.02,1.8,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/6/2018,5:56 PM,25,1.36,0.57,0.17,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/6/2018,4:22 PM,101,5.54,2.33,0.7,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/6/2018,2:09 PM,   -     , -   , -   , -   ,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/6/2018,1:01 PM,14,0.85,0.36,0.11,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,8/6/2018,12:15 PM,57,3.19,1.34,0.4,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/6/2018,12:21 PM,7,0.39,0.16,0.05,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/6/2018,10:39 AM,32,2,0.84,0.25,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/6/2018,7:20 AM,126,12.16,5.11,1.53,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/7/2018,6:51 PM,65,3.77,1.58,0.47,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/7/2018,11:52 PM,522,51.32,21.56,6.44,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/7/2018,7:07 PM,217,11.07,4.65,1.39,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/7/2018,7:53 PM,136,13.48,5.66,1.69,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/7/2018,6:12 PM,73,4.42,1.86,0.55,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/7/2018,5:02 PM,68,3.1,1.3,0.39,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/7/2018,5:36 PM,53,5.43,2.28,0.68,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/7/2018,2:55 PM,145,7.56,3.18,0.95,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/7/2018,3:31 PM,106,11.06,4.64,1.39,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/7/2018,11:11 AM,   -     , -   , -   , -   ,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/7/2018,4:55 PM,8,0.78,0.33,0.1,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/7/2018,2:05 PM,139,13.05,5.48,1.64,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,8/7/2018,2:06 PM,59,3.31,1.39,0.42,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/7/2018,1:29 PM,38,2.8,1.18,0.35,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/7/2018,12:49 PM,76,3.72,1.56,0.47,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,8/7/2018,1:06 PM,16,1.73,0.73,0.22,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/7/2018,10:47 AM,59,3.06,1.29,0.38,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/7/2018,10:01 AM,64,6.45,2.71,0.81,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/8/2018,1:01 PM,25,1.14,0.48,0.14,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/8/2018,4:15 PM,188,18.78,7.89,2.36,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/8/2018,7:16 PM,106,4.65,1.95,0.58,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/8/2018,6:37 PM,119,12.03,5.05,1.51,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/8/2018,6:03 PM,84,4.27,1.79,0.54,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/8/2018,6:07 PM,27,2.7,1.13,0.34,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/8/2018,5:00 PM,72,6.62,2.78,0.83,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,8/8/2018,3:00 PM,131,6.87,2.89,0.86,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,8/8/2018,4:08 PM,68,6.46,2.71,0.81,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/8/2018,1:58 PM,54,1.89,0.79,0.24,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,8/8/2018,12:11 PM,95,4.63,1.94,0.58,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,8/8/2018,12:55 PM,66,6.69,2.81,0.84,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/8/2018,12:32 PM,84,8.47,3.56,1.06,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/8/2018,11:24 AM,12,1.85,0.78,0.23,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/8/2018,12:18 PM,12,1.19,0.5,0.15,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/8/2018,11:09 AM,72,7.77,3.27,0.98,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,8/8/2018,9:37 AM,27,2.68,1.12,0.34,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/8/2018,6:12 AM,146,14.04,5.9,1.76,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/8/2018,8:13 AM,3,0.33,0.14,0.04,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,8/9/2018,2:59 PM,151,8.82,3.71,1.11,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,8/9/2018,6:42 PM,212,20.98,8.81,2.63,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,8/9/2018,6:44 PM,164,15.43,6.48,1.94,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,8/9/2018,7:16 PM,86,4.74,1.99,0.6,Level 2
